,beta
2021-06-02,0.8483670423369335
2021-06-03,0.8209844008075118
2021-06-04,0.6475320550857773
2021-06-07,0.6780905772161179
2021-06-08,0.6518701353235543
2021-06-09,0.6697299367326708
2021-06-10,0.7044336696349012
2021-06-11,0.7305247005073567
2021-06-14,0.7074029427146384
2021-06-15,0.7050663203151565
2021-06-16,0.7587559636589326
2021-06-17,0.8016812869176144
2021-06-18,0.9917596005656542
2021-06-21,1.0716548006171038
2021-06-22,1.0467850308540072
2021-06-23,1.0390690010310097
2021-06-24,1.0373746753293493
2021-06-25,1.0466735634804585
2021-06-28,1.0470760819670197
2021-06-29,1.0660658589567438
2021-06-30,1.0837448063335866
2021-07-01,1.0676205051346757
2021-07-02,1.0695860746710584
2021-07-06,0.9933311594431341
2021-07-07,1.0434082588859057
2021-07-08,1.0973251244586562
2021-07-09,1.2042799829651631
2021-07-12,1.1901017167729093
2021-07-13,1.2322745576670568
2021-07-14,1.243787643086128
2021-07-15,1.161720889331341
2021-07-16,1.0406404327642917
2021-07-19,1.1027231883660373
2021-07-20,1.17797716923647
2021-07-21,1.2100215427703855
2021-07-22,1.2010274595663388
2021-07-23,1.1354697659106567
2021-07-26,1.143586465468496
2021-07-27,1.0887218997813484
2021-07-28,1.0933211851942046
2021-07-29,1.111000586922834
2021-07-30,1.115572014124118
2021-08-02,1.0064121826349048
2021-08-03,0.8772181698583058
2021-08-04,0.867230277608542
2021-08-05,0.853029769527629
2021-08-06,0.9383928729507028
2021-08-09,0.9500673055422869
2021-08-10,0.9928873104431057
2021-08-11,1.0169880812522991
2021-08-12,0.924862213526378
2021-08-13,0.983721744103917
2021-08-16,1.0399563511346541
2021-08-17,0.9423916324283856
2021-08-18,0.9577416471967942
2021-08-19,0.9466239589831701
2021-08-20,0.8983129729710964
2021-08-23,0.9283883796633573
2021-08-24,0.9333919844900742
2021-08-25,0.9259891474388597
2021-08-26,0.9588968732906633
2021-08-27,0.9978925358398743
2021-08-30,0.9673735837367161
2021-08-31,0.9658434648196556
2021-09-01,0.9672665835836829
2021-09-02,0.9496250632501616
2021-09-03,1.0104504140914579
2021-09-07,1.1840979871894453
2021-09-08,1.1326655591541088
2021-09-09,1.0393724207379658
2021-09-10,1.0014416079030948
2021-09-13,0.8895159104584651
2021-09-14,1.1433967614568032
2021-09-15,1.2430972713963102
2021-09-16,1.264219040554274
2021-09-17,1.1391466581220169
2021-09-20,1.091370012131584
2021-09-21,1.0887965526314916
2021-09-22,1.062000820747843
2021-09-23,1.043287890509977
2021-09-24,1.0385885631232659
2021-09-27,1.0343399238665105
2021-09-28,0.9769863593870237
2021-09-29,0.94529375448972
2021-09-30,0.9659745211175657
2021-10-01,0.9691648185784811
2021-10-04,0.9568264258600592
2021-10-05,0.9624408788264223
2021-10-06,0.9487796987232983
2021-10-07,0.9321007593689764
2021-10-08,0.9330479331994138
2021-10-11,0.9250408826484883
2021-10-12,0.9567987396979398
2021-10-13,0.9614648765259364
2021-10-14,0.9562966001352283
2021-10-15,0.939306364184843
2021-10-18,0.9355374763323657
2021-10-19,0.9320847167575692
2021-10-20,0.9325187196031398
2021-10-21,0.9522899637808498
2021-10-22,0.8906277832740089
2021-10-25,0.8963918721289564
2021-10-26,0.94852223998814
2021-10-27,1.2308127960532755
2021-10-28,1.201068729672303
2021-10-29,1.273456381750767
2021-11-01,1.2551553218108003
2021-11-02,1.242716662764827
2021-11-03,1.1616031259598578
2021-11-04,1.1120182729772987
2021-11-05,1.364489070489979
2021-11-08,1.3525398950025054
2021-11-09,1.0909679937195924
2021-11-10,0.7928120701509336
2021-11-11,0.8071422561132473
2021-11-12,0.8138453306196689
2021-11-15,0.8232304772918444
2021-11-16,0.7599270454735934
2021-11-17,0.8425809851161947
2021-11-18,0.8591397192146762
2021-11-19,0.820755276376637
2021-11-22,0.8152033404809333
2021-11-23,0.9502991907087822
2021-11-24,1.058118257016335
2021-11-26,1.0280683870432277
2021-11-29,0.9866943776135053
2021-11-30,1.0368437098773067
2021-12-01,1.034880047139702
2021-12-02,1.1568812572824339
2021-12-03,1.166478808708467
2021-12-06,1.1695067145830411
2021-12-07,1.115072338076198
2021-12-08,1.1138218270440194
2021-12-09,1.116414733234372
2021-12-10,1.1101616676929609
2021-12-13,1.1143431264589316
2021-12-14,1.0513869594784677
2021-12-15,0.9973621328678703
2021-12-16,0.8599449388743216
2021-12-17,0.8294587299112886
2021-12-20,0.8244539817931555
2021-12-21,0.8752032294439033
2021-12-22,0.8698841582671953
2021-12-23,0.8557888813882831
2021-12-27,0.8730391427698246
2021-12-28,0.8672081792608061
2021-12-29,0.8624432266281578
2021-12-30,0.8856027868041917
2021-12-31,0.9402461681587945
2022-01-03,0.9858233609978877
2022-01-04,0.9281740120366828
2022-01-05,0.8828163491904518
2022-01-06,0.8845043794832612
2022-01-07,0.8548738457077538
2022-01-10,0.8477521150391591
2022-01-11,0.945688773923413
2022-01-12,0.9381026496693662
2022-01-13,0.902288061155653
2022-01-14,0.8904392709290458
2022-01-18,1.0055008517720276
2022-01-19,0.9887524991887473
2022-01-20,0.9618158151943353
2022-01-21,0.9373420818235817
2022-01-24,0.9185809300237106
2022-01-25,0.9222491095543504
2022-01-26,0.8157323974380823
2022-01-27,0.8168752569107997
2022-01-28,0.8544751172603385
2022-01-31,0.9029306686588486
2022-02-01,0.8879683544646485
2022-02-02,0.8721692919395085
2022-02-03,0.826994144610174
2022-02-04,0.8079829122225972
2022-02-07,0.8004670480442562
2022-02-08,0.7873926323665061
2022-02-09,0.7899185190268931
2022-02-10,0.8263486100349245
2022-02-11,0.9018455015967338
2022-02-14,0.8906811686393771
2022-02-15,0.8926506503762095
2022-02-16,0.908867989095041
2022-02-17,1.003843843039803
2022-02-18,1.0035370268330515
2022-02-22,0.9988687303317869
2022-02-23,1.0176214361170777
2022-02-24,0.9469538075425972
2022-02-25,1.018765415642777
2022-02-28,1.021740646030001
2022-03-01,1.0361809051614634
2022-03-02,1.0618330695495848
2022-03-03,1.0619674947383912
2022-03-04,1.0774057448071803
2022-03-07,1.088586390115359
2022-03-08,1.0937034162471417
2022-03-09,1.078514034970389
2022-03-10,1.094029981756406
2022-03-11,1.0697534200186398
2022-03-14,1.0665878002553517
2022-03-15,1.003240585163405
2022-03-16,0.9949112639426666
2022-03-17,0.9991766016090334
2022-03-18,0.993526193954948
2022-03-21,0.925112034925525
2022-03-22,0.9134209004202809
2022-03-23,0.9167994154645958
2022-03-24,0.9293414896690103
2022-03-25,0.9365891032833268
2022-03-28,0.9750527209485323
2022-03-29,1.022178128843128
2022-03-30,0.9728585637989899
2022-03-31,0.9273672448071087
2022-04-01,0.9309762077272289
2022-04-04,0.8968002478685237
2022-04-05,0.8792557738496946
2022-04-06,0.838132712984793
2022-04-07,0.8060137369586625
2022-04-08,0.7867507781219696
2022-04-11,0.790117098674843
2022-04-12,0.7512767019491907
2022-04-13,0.8187979459590726
2022-04-14,0.7964061239198795
2022-04-18,0.7627828965834553
2022-04-19,0.8746118574855319
2022-04-20,0.8748495477265635
2022-04-21,0.9463384161760301
2022-04-22,1.0236215383251428
2022-04-25,1.0047241084385528
2022-04-26,1.0019095360325951
2022-04-27,0.9934930013033483
2022-04-28,0.8946250070098609
2022-04-29,0.9145442332938893
2022-05-02,0.9215922897821538
2022-05-03,0.9081946127888967
2022-05-04,0.9358950834058285
2022-05-05,0.9339287226597178
2022-05-06,0.9215270717232285
2022-05-09,0.9583158060145504
2022-05-10,0.9729186366949154
2022-05-11,0.9676091771446489
2022-05-12,1.0248272910136809
2022-05-13,1.0741653740513737
2022-05-16,1.078710506201355
2022-05-17,1.0846092217076833
2022-05-18,1.0683743128108714
2022-05-19,1.0877225250637559
2022-05-20,1.0829235105129469
2022-05-23,0.9950986783305305
2022-05-24,1.0016590318274619
2022-05-25,1.0055681382501673
2022-05-26,1.0125773516601864
2022-05-27,0.997946122240022
2022-05-31,0.9980526086286642
2022-06-01,0.9990586519404182
2022-06-02,1.0687309628898969
2022-06-03,1.086527334116755
2022-06-06,1.0819323249970845
2022-06-07,1.1200497564878356
2022-06-08,1.1324723383361754
2022-06-09,1.1037635026814638
2022-06-10,1.0673521479762775
2022-06-13,1.0907500179435126
2022-06-14,1.086577406966137
2022-06-15,1.075592403853995
2022-06-16,1.0493279925150913
2022-06-17,1.0772359975655175
2022-06-21,1.0382454065570608
2022-06-22,1.0368534491024237
2022-06-23,1.0320869271765918
2022-06-24,1.0487942612725882
2022-06-27,1.0662810380361107
2022-06-28,1.0082586375148372
2022-06-29,1.0087214797044923
2022-06-30,1.0093374223371199
2022-07-01,0.9750149634206519
2022-07-05,0.9839561680612563
2022-07-06,1.0077403407633037
2022-07-07,1.023645976423808
2022-07-08,1.0284198772666833
2022-07-11,0.9496190080857159
2022-07-12,0.9273385349814227
2022-07-13,0.9927893511073486
2022-07-14,1.0047222606926347
2022-07-15,1.0683064065840084
2022-07-18,1.0206767885931887
2022-07-19,1.072226613783915
2022-07-20,1.0744239973273988
2022-07-21,1.0448727518100256
2022-07-22,1.0332403051139327
2022-07-25,1.0330941076550062
2022-07-26,1.03823734090553
2022-07-27,1.0335201906432105
2022-07-28,1.0050862313629259
2022-07-29,0.9835470093063604
2022-08-01,1.00614644734202
2022-08-02,0.9265498018320679
2022-08-03,0.9248807802033028
2022-08-04,0.9370754769240975
2022-08-05,0.9007904982645739
2022-08-08,0.897741213744796
2022-08-09,0.8978786792496765
2022-08-10,0.9155918294771611
2022-08-11,0.9089255140548749
2022-08-12,0.9697095904774744
2022-08-15,0.9458764975107931
2022-08-16,0.9766893138050861
2022-08-17,1.0769493668693877
2022-08-18,1.0892511403147394
2022-08-19,1.1308638560356539
2022-08-22,1.0858221594264301
2022-08-23,1.0825714839675977
2022-08-24,1.0642384955444901
2022-08-25,1.0693485489445687
2022-08-26,1.0251226998381566
2022-08-29,1.034185834756291
2022-08-30,1.032865355746111
